ID,Content,ASIL,Rationale,Covers,State
SYS2_001,"WHILE VehSpd is within its valid operating range, THE SYSTEM SHALL acquire and process the vehicle speed signal for use in lane keeping assistance availability and control decisions.",ASIL B,Vehicle speed is a primary gating input for LKA availability and control.,"SYS1_005,SYS1_008",Draft
SYS2_002,"THE SYSTEM SHALL detect out-of-range, timeout, stale (alive-counter), and CRC-invalid conditions on the vehicle speed signal and transition to a safe state upon detection.",ASIL B,Signal-level fault monitoring required for any ASIL-rated input.,SYS1_008,Draft
SYS2_003,"THE SYSTEM SHALL acquire and validate the vehicle yaw rate signal, including detection of out-of-range, timeout, stale, and CRC-invalid conditions.",ASIL B,Yaw rate supports lane-keeping stability/curvature estimation and must be monitored.,"SYS1_008,SYS1_009",Draft
SYS2_004,"THE SYSTEM SHALL acquire and validate the driver-applied steering torque signal, including detection of out-of-range, timeout, stale, and CRC-invalid conditions, to support driver override detection.",ASIL D,Driver torque is the primary override-detection signal and is safety-critical.,"SYS1_002,SYS1_008",Draft
SYS2_005,"THE SYSTEM SHALL acquire and validate the steering angle signal, including detection of out-of-range, timeout, stale, and CRC-invalid conditions.",ASIL B,Steering angle supports plausibility checking of the control output.,"SYS1_008,SYS1_009",Draft
SYS2_006,THE SYSTEM SHALL acquire and validate the turn signal indicator status to support automatic disengagement of lane keeping assistance during an intentional lane change.,ASIL B,Required to satisfy the auto-disengage-on-lane-change stakeholder need.,"SYS1_007,SYS1_008",Draft
SYS2_007,"THE SYSTEM SHALL acquire and validate the brake pedal/system status signal, including detection of out-of-range, timeout, stale, and CRC-invalid conditions.",ASIL B,"Brake status affects LKA state transitions (e.g., driver braking indicates disengagement intent).",SYS1_008,Draft
SYS2_008,"THE SYSTEM SHALL acquire and validate the accelerator pedal position signal, including detection of out-of-range, timeout, stale, and CRC-invalid conditions.",QM,Accelerator input supports driver-intent monitoring; non-safety-critical for LKA itself.,SYS1_008,Draft
SYS2_009,THE SYSTEM SHALL acquire and validate the windshield wiper status signal as an input to environmental condition awareness.,QM,Wiper status is a proxy signal for degraded-visibility conditions.,SYS1_009,Draft
SYS2_010,"THE SYSTEM SHALL compute and output a lane keeping steering torque request within defined safety limits, including magnitude limits, rate-of-change limits, and output saturation.",ASIL D,Direct realization of the core LKA actuation function under safety constraints.,"SYS1_001,SYS1_010",Draft
SYS2_011,THE SYSTEM SHALL acquire and validate a lane detection confidence measure and use it to determine availability of lane keeping assistance.,ASIL B,Lane confidence gates whether LKA can safely operate.,SYS1_009,Draft
SYS2_012,THE SYSTEM SHALL acquire and validate the estimated lane curvature and use it in the computation of the lane keeping steering torque request.,ASIL B,Lane curvature is a primary input to the control law.,SYS1_001,Draft
SYS2_013,THE SYSTEM SHALL acquire and validate the vehicle's lateral offset from lane center and issue driver warnings when the offset exceeds defined thresholds.,ASIL B,Lateral offset drives both control correction and driver-facing lane-departure warnings.,"SYS1_004,SYS1_001",Draft
SYS2_014,THE SYSTEM SHALL acquire and validate the time-to-line-crossing estimate and use it to trigger corrective steering torque when it falls below a defined threshold.,ASIL B,"Time-to-line-crossing enables anticipatory, not just reactive, correction.",SYS1_001,Draft
SYS2_015,"THE SYSTEM SHALL manage and report the lane keeping assistance operating state (OFF, STANDBY, ACTIVE, OVERRIDE, FAULT) based on vehicle speed, lane detection confidence, turn signal, driver torque, brake status, and fault conditions.",ASIL B,Centralizes the availability/operating logic driven by all monitored inputs.,SYS1_004,Draft
SYS2_016,THE SYSTEM SHALL generate driver-facing warning indications corresponding to the current lane keeping assistance state and detected lane departure conditions.,ASIL B,Satisfies the driver-feedback stakeholder need.,SYS1_004,Draft
SYS2_017,THE SYSTEM SHALL receive and process camera perception data over the vehicle Ethernet interface within defined latency and frame-rate performance bounds.,ASIL B,"Perception freshness is a precondition for safe, timely lane estimation.",SYS1_009,Draft
SYS2_018,"THE SYSTEM SHALL execute its control loop at a fixed, bounded period and achieve a bounded end-to-end latency from camera input to steering torque output.",ASIL D,Deterministic timing is required for a closed-loop safety-relevant control function.,"SYS1_003,SYS1_010",Draft
SYS2_019,THE SYSTEM SHALL monitor its own control loop execution time and transition to a safe state if a processing overload condition is detected.,ASIL D,Self-monitoring against CPU overload is required to bound worst-case behavior.,SYS1_003,Draft
SYS2_020,THE SYSTEM SHALL complete initialization and reach a defined ready state within a bounded time following power-on or wake-up.,ASIL B,Bounded startup time is required so LKA availability is predictable after ignition/wake events.,SYS1_003,Draft
SYS2_021,THE SYSTEM SHALL manage its communication bus utilization within defined limits to ensure reliable data exchange with other vehicle systems.,QM,Bus load management protects overall vehicle network reliability.,SYS1_003,Draft
SYS2_022,"THE SYSTEM SHALL detect, classify, and record diagnostic trouble codes for all safety-relevant malfunctions to support field diagnosis.",ASIL B,Directly realizes the serviceability/diagnostics stakeholder need.,"SYS1_006,SYS1_003",Draft
SYS2_023,"THE SYSTEM SHALL validate the plausibility of all internally calculated/derived values (e.g., heading angle, lane width, curvature rate, control terms) used in lane keeping control, and detect and react to implausible values.",ASIL B,Internal calculated-value monitoring guards against propagation of undetected computation faults.,"SYS1_003,SYS1_010",Draft
SYS2_024,"THE SYSTEM SHALL transition to a defined safe state, removing lane keeping steering torque and indicating the appropriate state/warning, whenever any safety-relevant fault is detected or the driver overrides the system.",ASIL D,Consolidates the safe-state and override-response requirements into one system-level behavior.,"SYS1_002,SYS1_003,SYS1_010",Draft
